property_type,area_m2,price_usd,lat,lon,state
apartment,71,48550.59,19.52589,-99.151703,Gilgit
house,233,168636.73,19.2640539,-99.5727534,Karachi de Pakistan
house,300,86932.69,19.268629,-99.671722,Karachi de Pakistan
apartment,84,68508.67,19.511938,-96.871956,Islamabad
house,175,102763.0,20.689157,-103.366728,Jalalabad
house,223,126477.54,21.0441317,-89.6216334,Sindh
house,179,121207.64,21.129547,-86.817017,Quintana Roo
house,205,226869.1,21.003574,-101.285683,Guanajuato
house,130,76395.4,19.667873,-101.233465,Chiapas
apartment,67,50052.15,19.443178,-99.144234,Gilgit
apartment,80,51076.22,19.396593,-99.133163,Gilgit
house,263,152932.43,21.1299039,-101.6220159,Guanajuato
house,367,216014.58,25.625994,-100.283852,Rawalpindi
apartment,60,34246.21,19.524143,-99.160149,Gilgit
apartment,120,100104.31,19.386959,-99.219492,Gilgit
house,320,158059.45,20.949741,-97.396337,Islamabad
house,122,103500.79,18.920345,-99.235603,Hunza
apartment,191,237145.4,16.863794,-99.881614,Danyore
house,220,104319.23,19.136782,-96.123543,Islamabad
apartment,153,65633.66,19.403334,-99.145021,Gilgit
house,205,90115.25,21.0411724,-89.5550539,Sindh
house,120,110667.85,25.441315,-100.987683,Islamabad
house,115,62585.3,32.425724,-117.034189,Danyore
house,260,91674.48,19.484794,-98.874065,Karachi de Pakistan
apartment,107,79443.7,19.378533,-99.187561,Gilgit
house,192,115910.26,25.740887,-100.385582,Rawalpindi
house,106,52686.48,16.769737,-93.088928,Chiapas
house,190,150192.08,20.650429,-103.374611,Jalalabad
apartment,103,50942.31,19.387613,-99.202726,Gilgit
house,171,105397.95,18.890867,-99.177444,Hunza
apartment,203,189716.32,21.139086,-86.84964,Quintana Roo
apartment,140,273969.71,19.413079,-99.174228,Gilgit
house,160,157532.58,19.410826,-99.143757,Gilgit
house,200,173865.39,18.900852,-99.213448,Hunza
apartment,75,56689.55,19.428767,-99.1459,Gilgit
house,149,100104.31,19.595285,-99.050201,Karachi de Pakistan
apartment,117,144922.18,19.531834,-99.240456,Karachi de Pakistan
house,293,110667.85,18.818652,-98.936752,Hunza
house,233,99577.45,23.634501,-102.552788,Islamabad
house,280,92201.34,21.137991,-86.870964,Quintana Roo
house,160,92130.98,18.7696195,-95.758949,Islamabad
house,190,99050.58,22.169217188,-101.0471907892,San Luis Potosí
house,200,98523.72,23.634501,-102.552788,Rawalpindi
house,300,52686.48,19.101794,-98.87164,Karachi de Pakistan
house,180,123842.59,19.517859,-96.891403,Islamabad
house,117,142253.5,19.2790911,-99.2114234,Gilgit
apartment,83,68245.17,15.752900306,-96.1357247829,Oaxaca
apartment,104,103370.88,19.302422,-99.230829,Gilgit
house,350,242357.82,19.343664,-99.212308,Gilgit
apartment,100,79029.72,16.868438,-99.89028,Danyore
house,198,123813.23,18.93409,-99.254997,Hunza
house,280,55039.77,19.534415,-99.023333,Karachi de Pakistan
house,168,92201.34,19.043223,-98.268716,Chalt
apartment,75,81683.41,19.0527224248,-98.2346042991,Chalt
house,200,115910.26,18.981213,-99.206345,Hunza
apartment,80,53158.13,19.395097,-99.150424,Gilgit
house,305,189716.32,18.862602,-99.213448,Hunza
house,90,57955.13,20.594334,-103.425086,Jalalabad
house,152,105397.95,18.9915056,-98.2181614,Chalt
apartment,144,100128.05,22.125832,-101.035118,San Luis Potosí
apartment,87,173490.81,25.592172,-99.9961947,Rawalpindi
house,84,49986.51,19.295469,-99.692619,Karachi de Pakistan
house,90,55320.8,20.703063,-101.339442,Guanajuato
house,190,165962.42,19.670241,-101.190542,Chiapas
house,135,89587.99,20.9591553064,-89.627494812,Sindh
house,200,120652.04,20.635013,-103.42725,Jalalabad
house,260,158059.45,19.673779,-101.187927,Chiapas
apartment,125,210745.93,17.997911,-92.923836,Tabasco
apartment,113,153686.47,19.508253,-99.254997,Karachi de Pakistan
apartment,127,131747.44,18.937398,-99.246207,Hunza
apartment,63,36817.31,32.486253,-117.054332,Danyore
house,272,210795.91,18.9802279987,-98.2865452766,Chalt
house,95,52698.97,20.5969621,-100.3337597,Gilgit
house,180,72724.58,21.0181429,-89.6396127,Sindh
house,212,44256.64,28.6275048,-106.0401387,Chihuahua
house,248,151210.2,20.723525,-100.45586,Gilgit
house,198,131716.2,20.729762,-100.467159,Gilgit
house,245,147557.13,18.7696195,-95.758949,Islamabad
house,140,162801.23,19.410632,-99.13847,Gilgit
house,158,86247.77,19.672207,-99.015656,Karachi de Pakistan
house,200,134382.39,28.6103324259,-106.1123085022,Chihuahua
house,100,44730.82,23.634501,-102.552788,Danyore Sur
apartment,67,35826.8,17.928942,-92.912029,Tabasco
house,270,250260.79,20.572651,-103.474675,Jalalabad
house,282,68508.67,19.1553371,-96.1682507,Islamabad
house,350,115910.26,20.957177,-97.410652,Islamabad
house,108,35036.51,25.7815621,-100.1875974,Rawalpindi
house,162,83226.17,21.039522,-89.563911,Sindh
house,145,115910.26,20.543838,-100.412211,Gilgit
house,190,124633.08,19.1564195,-96.111619,Islamabad
house,80,132559.19,19.275725,-99.129684,Gilgit
house,330,184402.69,18.90666,-98.965851,Hunza
apartment,83,52574.87,19.342083,-99.0532159,Gilgit
house,135,78521.47,20.570164,-100.363823,Gilgit
house,340,289775.66,18.926468,-99.214211,Hunza
