property_type,state,lat,lon,area_m2,price_usd
house,Gilgit,19.560181,-99.233528,150,"$67,965.56"
house,Sindh,25.6884355,-100.1988071,186,"$63,223.78"
apartment,Islamabad,16.767704,-99.764383,82,"$84,298.37"
apartment,Islamabad,16.829782,-99.911012,150,"$94,308.80"
house,Karachi,,,175,"$94,835.67"
house,KPK,21.05258302,-89.53863859,205,"$105,191.37"
house,Kashmir,20.7163149,-100.4525027,320,"$274,034.68"
house,Kashmir,,,202,"$43,202.91"
house,Sindh,,,90,"$34,254.33"
house,Hunza,18.8126047,-98.9548261,281,"$151,509.56"
house,Chiapas,16.769737,-93.088928,140,"$79,029.72"
house,Gilgit,19.30540733,-99.64694828,235,"$115,937.75"
house,Hunza,18.804197,-98.932816,117,"$63,223.78"
apartment,Islamabad,16.775165,-99.789939,117,"$157,269.15"
house,KPK,21.0483333,-89.6780555,193,"$104,607.47"
house,Gilgit,19.560181,-99.233528,85,"$63,238.77"
house,Jutail,18.01408208,-92.8963995,135,"$77,994.48"
apartment,Jalalabad,19.390748,-99.158695,127,"$131,716.20"
apartment,KPK,21.33715074,-89.32268858,208,"$203,167.10"
house,Jalalabad,19.337652,-99.2233268,297,"$264,390.77"
house,Naltar,21.518174,-104.9074948,173,"$63,238.77"
house,Hunza,18.855343,-99.241142,73,"$36,775.16"
apartment,Nager,19.0248763,-98.1945109,170,"$173,570.30"
apartment,Jalalabad,19.403334,-99.157755,129,"$131,716.20"
apartment,Jalalabad,19.428152,-99.106194,68,"$67,175.26"
house,Nager,18.991881,-98.275275,334,"$262,905.55"
house,Karachi,25.624891,-103.397214,106,"$40,041.72"
house,KPK,20.997143,-89.601028,132,"$64,556.24"
house,Danyore,23.239141,-106.412613,104,"$44,783.51"
apartment,Jalalabad,19.430141,-99.172536,97,"$104,846.10"
apartment,Islamabad,,,150,"$102,763.00"
house,Gilgit,19.538595,-99.180214,200,"$158,059.45"
house,Hunza,,,170,"$118,544.58"
apartment,KPK,21.030668,-89.599258,80,"$84,845.35"
house,Jutail,17.893124,-92.92127323,70,"$39,514.86"
house,Chiapas,16.717077,-93.162903,240,"$158,059.45"
house,Nager,,,194,"$131,716.20"
house,Chihuahua,,,150,"$51,644.99"
house,Tamaulipas,22.3261979,-97.8885244,188,"$92,223.21"
